tipo_muerte;provincia;arma;Anio
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2024
HOMICIDIO;LOS RIOS;CONTUNDENTE;2016
ASESINATO;MANABI;ARMA DE FUEGO;2015
ASESINATO;PICHINCHA;ARMA DE FUEGO;2017
ASESINATO;LOS RIOS;ARMA DE FUEGO;2024
ASESINATO;ESMERALDAS;ARMA BLANCA;2018
ASESINATO;PICHINCHA;ARMA DE FUEGO;2025
ASESINATO;GUAYAS;ARMA DE FUEGO;2019
SICARIATO;MANABI;ARMA BLANCA;2019
SICARIATO;GUAYAS;ARMA DE FUEGO;2022
HOMICIDIO;ESMERALDAS;ARMA BLANCA;2018
ASESINATO;GUAYAS;ARMA DE FUEGO;2023
SICARIATO;IMBABURA;ARMA BLANCA;2018
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2020
HOMICIDIO;PICHINCHA;ARMA BLANCA;2019
HOMICIDIO;MANABI;ARMA DE FUEGO;2024
ASESINATO;GUAYAS;ARMA DE FUEGO;2025
ASESINATO;LOS RIOS;ARMA DE FUEGO;2024
ASESINATO;GUAYAS;ARMA DE FUEGO;2014
SICARIATO;GUAYAS;ARMA DE FUEGO;2018
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2025
ASESINATO;PICHINCHA;ARMA DE FUEGO;2024
HOMICIDIO;PICHINCHA;ARMA DE FUEGO;2022
ASESINATO;PICHINCHA;OTRA;2023
HOMICIDIO;PICHINCHA;ARMA BLANCA;2022
HOMICIDIO;MANABI;ARMA DE FUEGO;2016
HOMICIDIO;PICHINCHA;ARMA DE FUEGO;2015
SICARIATO;TUNGURAHUA;ARMA DE FUEGO;2018
SICARIATO;GUAYAS;ARMA BLANCA;2025
ASESINATO;GUAYAS;ARMA DE FUEGO;2024
SICARIATO;SANTA ELENA;ARMA DE FUEGO;2014
ASESINATO;LOS RIOS;ARMA DE FUEGO;2022
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2024
ASESINATO;PICHINCHA;ASFIXIA;2016
HOMICIDIO;AZUAY;ARMA DE FUEGO;2022
SICARIATO;AZUAY;ARMA BLANCA;2015
ASESINATO;GUAYAS;ARMA DE FUEGO;2018
ASESINATO;GUAYAS;ARMA DE FUEGO;2015
ASESINATO;LOS RIOS;ARMA DE FUEGO;2022
ASESINATO;GUAYAS;ARMA DE FUEGO;2022
HOMICIDIO;AZUAY;ARMA DE FUEGO;2017
FEMICIDIO;GUAYAS;ARMA DE FUEGO;2025
ASESINATO;EL ORO;ARMA DE FUEGO;2021
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2015
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2017
SICARIATO;AZUAY;ARMA DE FUEGO;2015
ASESINATO;GUAYAS;ARMA DE FUEGO;2017
HOMICIDIO;SANTO DOMINGO DE LOS TSACHILAS;ARMA DE FUEGO;2025
ASESINATO;ESMERALDAS;ARMA DE FUEGO;2021
ASESINATO;PICHINCHA;ARMA BLANCA;2020
FEMICIDIO;LOS RIOS;ARMA DE FUEGO;2014
SICARIATO;LOS RIOS;ARMA DE FUEGO;2020
ASESINATO;GUAYAS;ARMA DE FUEGO;2017
SICARIATO;PICHINCHA;ARMA DE FUEGO;2018
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2022
SICARIATO;TUNGURAHUA;ARMA BLANCA;2014
ASESINATO;PICHINCHA;ARMA BLANCA;2016
ASESINATO;GUAYAS;ARMA DE FUEGO;2014
HOMICIDIO;GUAYAS;ARMA BLANCA;2021
ASESINATO;MANABI;ARMA DE FUEGO;2022
HOMICIDIO;TUNGURAHUA;ARMA DE FUEGO;2017
ASESINATO;GUAYAS;ARMA DE FUEGO;2025
FEMICIDIO;GUAYAS;ARMA DE FUEGO;2022
ASESINATO;GUAYAS;ARMA BLANCA;2016
SICARIATO;GUAYAS;ARMA DE FUEGO;2020
ASESINATO;GUAYAS;ARMA DE FUEGO;2023
SICARIATO;PICHINCHA;ARMA DE FUEGO;2023
ASESINATO;GUAYAS;ARMA DE FUEGO;2025
ASESINATO;GUAYAS;ARMA BLANCA;2024
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2015
ASESINATO;GUAYAS;ARMA DE FUEGO;2015
SICARIATO;EL ORO;ARMA DE FUEGO;2019
